Period,Period Label,Economy,Economy Label,CommercialMarket,CommercialMarket Label,Median time in port (days),Median time in port (days) Footnote,Median time in port (days) Missing value,Average age of vessels (years),Average age of vessels (years) Footnote,Average age of vessels (years) Missing value,Average size (GT) of vessels,Average size (GT) of vessels Footnote,Average size (GT) of vessels Missing value,Average cargo carrying capacity (dwt) per vessel,Average cargo carrying capacity (dwt) per vessel Footnote,Average cargo carrying capacity (dwt) per vessel Missing value,Average container carrying capacity (TEU) per container ship,Average container carrying capacity (TEU) per container ship Footnote,Average container carrying capacity (TEU) per container ship Missing value,Maximum size (GT) of vessels,Maximum size (GT) of vessels Footnote,Maximum size (GT) of vessels Missing value,Maximum cargo carrying capacity (dwt) of vessels,Maximum cargo carrying capacity (dwt) of vessels Footnote,Maximum cargo carrying capacity (dwt) of vessels Missing value,Maximum container carrying capacity (TEU) of container ships,Maximum container carrying capacity (TEU) of container ships Footnote,Maximum container carrying capacity (TEU) of container ships Missing value
2018S01,"S1   2018",0000,"World",00,"All ships",0.97,,,18,,,15222,,,24074,,,3526,,,234006,,,441561,,,21413,,
2018S01,"S1   2018",0000,"World",02,"Liquid bulk carriers",0.94,,,13,,,15470,,,26871,,,,,"Not available or not separately reported",234006,,,441561,,,,,"Not available or not separately reported"
2018S01,"S1   2018",0000,"World",07,"Liquefied petroleum gas carriers",1,,,14,,,10548,,,11915,,,,,"Not available or not separately reported",57509,,,64220,,,,,"Not available or not separately reported"
2018S01,"S1   2018",0000,"World",08,"Liquefied natural gas carriers",1.11,,,11,,,92660,,,72117,,,,,"Not available or not separately reported",168189,,,155159,,,,,"Not available or not separately reported"
2018S01,"S1   2018",0000,"World",05,"Dry bulk carriers",2.1,,,13,,,32136,,,57574,,,,,"Not available or not separately reported",203403,,,404389,,,,,"Not available or not separately reported"
2018S01,"S1   2018",0000,"World",04,"Dry breakbulk carriers",1.12,,,19,,,5455,,,7413,,,,,"Not available or not separately reported",91784,,,138743,,,,,"Not available or not separately reported"
2018S01,"S1   2018",0000,"World",06,"Roll-on/ roll-off ships",,,"Not available or not separately reported",17,,,25291,,,10192,,,,,"Not available or not separately reported",100430,,,55828,,,,,"Not available or not separately reported"
2018S01,"S1   2018",0000,"World",03,"Container ships",0.69,,,13,,,38405,,,,,"Not available or not separately reported",3526,,,217673,,,,,"Not available or not separately reported",21413,,
2018S01,"S1   2018",0000,"World",01,"Passenger ships",,,"Not available or not separately reported",21,,,8978,,,,,"Not available or not separately reported",,,"Not available or not separately reported",228081,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
2018S01,"S1   2018",036,"Australia",00,"All ships",1.49,,,19,,,25686,,,78572,,,4263,,,168666,,,299688,,,8084,,
2018S01,"S1   2018",036,"Australia",02,"Liquid bulk carriers",1.34,,,7,,,23585,,,40187,,,,,"Not available or not separately reported",85496,,,166447,,,,,"Not available or not separately reported"
2018S01,"S1   2018",036,"Australia",07,"Liquefied petroleum gas carriers",0.87,,,11,,,12082,,,14044,,,,,"Not available or not separately reported",48963,,,55250,,,,,"Not available or not separately reported"
2018S01,"S1   2018",036,"Australia",08,"Liquefied natural gas carriers",1.23,,,9,,,110103,,,84312,,,,,"Not available or not separately reported",144978,,,121963,,,,,"Not available or not separately reported"
2018S01,"S1   2018",036,"Australia",05,"Dry bulk carriers",1.68,,,9,,,59996,,,112598,,,,,"Not available or not separately reported",152305,,,299688,,,,,"Not available or not separately reported"
2018S01,"S1   2018",036,"Australia",04,"Dry breakbulk carriers",1.69,,,12,,,15417,,,21345,,,,,"Not available or not separately reported",54529,,,80500,,,,,"Not available or not separately reported"
2018S01,"S1   2018",036,"Australia",06,"Roll-on/ roll-off ships",,,"Not available or not separately reported",14,,,42019,,,15797,,,,,"Not available or not separately reported",77000,,,43878,,,,,"Not available or not separately reported"
2018S01,"S1   2018",036,"Australia",03,"Container ships",1.19,,,12,,,46778,,,,,"Not available or not separately reported",4263,,,90449,,,,,"Not available or not separately reported",8084,,
2018S01,"S1   2018",036,"Australia",01,"Passenger ships",,,"Not available or not separately reported",27,,,5105,,,,,"Not available or not separately reported",,,"Not available or not separately reported",168666,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
2018S01,"S1   2018",124,"Canada",00,"All ships",0.84,,,24,,,14239,,,35357,,,5161,,,168028,,,319547,,,14568,,
2018S01,"S1   2018",124,"Canada",02,"Liquid bulk carriers",1.18,,,12,,,23604,,,39776,,,,,"Not available or not separately reported",161367,,,319547,,,,,"Not available or not separately reported"
2018S01,"S1   2018",124,"Canada",05,"Dry bulk carriers",0.55,,,22,,,28506,,,49364,,,,,"Not available or not separately reported",108051,,,209935,,,,,"Not available or not separately reported"
2018S01,"S1   2018",124,"Canada",04,"Dry breakbulk carriers",0.28,,,8,,,10336,,,12753,,,,,"Not available or not separately reported",37447,,,61860,,,,,"Not available or not separately reported"
2018S01,"S1   2018",124,"Canada",06,"Roll-on/ roll-off ships",,,"Not available or not separately reported",24,,,15380,,,7900,,,,,"Not available or not separately reported",100430,,,55828,,,,,"Not available or not separately reported"
2018S01,"S1   2018",124,"Canada",03,"Container ships",1.48,,,12,,,57642,,,,,"Not available or not separately reported",5161,,,154300,,,,,"Not available or not separately reported",14568,,
2018S01,"S1   2018",124,"Canada",01,"Passenger ships",,,"Not available or not separately reported",27,,,8836,,,,,"Not available or not separately reported",,,"Not available or not separately reported",168028,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
2018S01,"S1   2018",156,"China",00,"All ships",1.01,,,12,,,32056,,,43890,,,4644,,,217673,,,403811,,,21413,,
2018S01,"S1   2018",156,"China",02,"Liquid bulk carriers",1.09,,,11,,,19404,,,33892,,,,,"Not available or not separately reported",172146,,,323527,,,,,"Not available or not separately reported"
2018S01,"S1   2018",156,"China",07,"Liquefied petroleum gas carriers",0.98,,,12,,,10094,,,11170,,,,,"Not available or not separately reported",49292,,,64220,,,,,"Not available or not separately reported"
2018S01,"S1   2018",156,"China",08,"Liquefied natural gas carriers",1.26,,,9,,,102691,,,83873,,,,,"Not available or not separately reported",168189,,,154940,,,,,"Not available or not separately reported"
2018S01,"S1   2018",156,"China",05,"Dry bulk carriers",1.99,,,11,,,41091,,,74721,,,,,"Not available or not separately reported",203403,,,403811,,,,,"Not available or not separately reported"
2018S01,"S1   2018",156,"China",04,"Dry breakbulk carriers",1.15,,,15,,,9744,,,14027,,,,,"Not available or not separately reported",91784,,,138743,,,,,"Not available or not separately reported"
2018S01,"S1   2018",156,"China",06,"Roll-on/ roll-off ships",,,"Not available or not separately reported",14,,,29504,,,9715,,,,,"Not available or not separately reported",77000,,,43878,,,,,"Not available or not separately reported"
2018S01,"S1   2018",156,"China",03,"Container ships",0.6,,,11,,,50187,,,,,"Not available or not separately reported",4644,,,217673,,,,,"Not available or not separately reported",21413,,
2018S01,"S1   2018",156,"China",01,"Passenger ships",,,"Not available or not separately reported",10,,,17075,,,,,"Not available or not separately reported",,,"Not available or not separately reported",168666,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
2018S01,"S1   2018",191,"Croatia",00,"All ships",1.18,,,15,,,3904,,,17120,,,3427,,,143521,,,182060,,,13100,,
2018S01,"S1   2018",191,"Croatia",02,"Liquid bulk carriers",1.02,,,13,,,17998,,,31738,,,,,"Not available or not separately reported",84844,,,164274,,,,,"Not available or not separately reported"
2018S01,"S1   2018",191,"Croatia",05,"Dry bulk carriers",2.09,,,33,,,9724,,,16659,,,,,"Not available or not separately reported",93360,,,182060,,,,,"Not available or not separately reported"
2018S01,"S1   2018",191,"Croatia",04,"Dry breakbulk carriers",2.87,,,21,,,4544,,,6152,,,,,"Not available or not separately reported",19426,,,26931,,,,,"Not available or not separately reported"
2018S01,"S1   2018",191,"Croatia",03,"Container ships",0.55,,,13,,,37578,,,,,"Not available or not separately reported",3427,,,143521,,,,,"Not available or not separately reported",13100,,
2018S01,"S1   2018",191,"Croatia",01,"Passenger ships",,,"Not available or not separately reported",15,,,3516,,,,,"Not available or not separately reported",,,"Not available or not separately reported",133596,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
2018S01,"S1   2018",208,"Denmark",00,"All ships",0.74,,,18,,,9710,,,7460,,,1911,,,214286,,,299991,,,19630,,
2018S01,"S1   2018",208,"Denmark",02,"Liquid bulk carriers",0.64,,,16,,,8235,,,13327,,,,,"Not available or not separately reported",156919,,,299991,,,,,"Not available or not separately reported"
2018S01,"S1   2018",208,"Denmark",07,"Liquefied petroleum gas carriers",1.08,,,14,,,4087,,,4403,,,,,"Not available or not separately reported",9126,,,10300,,,,,"Not available or not separately reported"
2018S01,"S1   2018",208,"Denmark",05,"Dry bulk carriers",0.84,,,29,,,9688,,,15462,,,,,"Not available or not separately reported",65950,,,118863,,,,,"Not available or not separately reported"
2018S01,"S1   2018",208,"Denmark",04,"Dry breakbulk carriers",0.85,,,23,,,2982,,,4079,,,,,"Not available or not separately reported",24778,,,37534,,,,,"Not available or not separately reported"
2018S01,"S1   2018",208,"Denmark",06,"Roll-on/ roll-off ships",,,"Not available or not separately reported",18,,,20990,,,11985,,,,,"Not available or not separately reported",52485,,,24485,,,,,"Not available or not separately reported"
2018S01,"S1   2018",208,"Denmark",03,"Container ships",0.48,,,12,,,20595,,,,,"Not available or not separately reported",1911,,,214286,,,,,"Not available or not separately reported",19630,,
2018S01,"S1   2018",208,"Denmark",01,"Passenger ships",,,"Not available or not separately reported",18,,,10060,,,,,"Not available or not separately reported",,,"Not available or not separately reported",145655,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
2018S01,"S1   2018",251,"France",00,"All ships",1.11,,,16,,,23254,,,17264,,,4917,,,228081,,,323183,,,20776,,
2018S01,"S1   2018",251,"France",02,"Liquid bulk carriers",1.06,,,13,,,13308,,,22763,,,,,"Not available or not separately reported",166308,,,323183,,,,,"Not available or not separately reported"
2018S01,"S1   2018",251,"France",07,"Liquefied petroleum gas carriers",1.08,,,11,,,7895,,,8703,,,,,"Not available or not separately reported",48456,,,55056,,,,,"Not available or not separately reported"
2018S01,"S1   2018",251,"France",08,"Liquefied natural gas carriers",1.21,,,9,,,98115,,,76111,,,,,"Not available or not separately reported",163922,,,130441,,,,,"Not available or not separately reported"
2018S01,"S1   2018",251,"France",05,"Dry bulk carriers",3.22,,,12,,,27518,,,48728,,,,,"Not available or not separately reported",94710,,,181458,,,,,"Not available or not separately reported"
2018S01,"S1   2018",251,"France",04,"Dry breakbulk carriers",1.44,,,16,,,4668,,,6544,,,,,"Not available or not separately reported",40322,,,81279,,,,,"Not available or not separately reported"
2018S01,"S1   2018",251,"France",06,"Roll-on/ roll-off ships",,,"Not available or not separately reported",15,,,28381,,,11484,,,,,"Not available or not separately reported",76420,,,46705,,,,,"Not available or not separately reported"
2018S01,"S1   2018",251,"France",03,"Container ships",0.76,,,12,,,54780,,,,,"Not available or not separately reported",4917,,,217673,,,,,"Not available or not separately reported",20776,,
2018S01,"S1   2018",251,"France",01,"Passenger ships",,,"Not available or not separately reported",17,,,24685,,,,,"Not available or not separately reported",,,"Not available or not separately reported",228081,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
2018S01,"S1   2018",276,"Germany",00,"All ships",0.58,,,18,,,13497,,,8428,,,3825,,,217673,,,317106,,,21413,,
2018S01,"S1   2018",276,"Germany",02,"Liquid bulk carriers",0.36,,,18,,,4469,,,7497,,,,,"Not available or not separately reported",160278,,,317106,,,,,"Not available or not separately reported"
2018S01,"S1   2018",276,"Germany",07,"Liquefied petroleum gas carriers",0.73,,,12,,,4891,,,5420,,,,,"Not available or not separately reported",35853,,,42937,,,,,"Not available or not separately reported"
2018S01,"S1   2018",276,"Germany",05,"Dry bulk carriers",2.43,,,12,,,29157,,,51453,,,,,"Not available or not separately reported",107684,,,209177,,,,,"Not available or not separately reported"
2018S01,"S1   2018",276,"Germany",04,"Dry breakbulk carriers",0.54,,,19,,,3468,,,4669,,,,,"Not available or not separately reported",71543,,,69990,,,,,"Not available or not separately reported"
2018S01,"S1   2018",276,"Germany",06,"Roll-on/ roll-off ships",,,"Not available or not separately reported",15,,,28585,,,11847,,,,,"Not available or not separately reported",100430,,,55828,,,,,"Not available or not separately reported"
2018S01,"S1   2018",276,"Germany",03,"Container ships",0.79,,,12,,,41922,,,,,"Not available or not separately reported",3825,,,217673,,,,,"Not available or not separately reported",21413,,
2018S01,"S1   2018",276,"Germany",01,"Passenger ships",,,"Not available or not separately reported",19,,,12183,,,,,"Not available or not separately reported",,,"Not available or not separately reported",171598,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
2018S01,"S1   2018",300,"Greece",00,"All ships",0.72,,,21,,,8620,,,7401,,,3693,,,217617,,,320051,,,20388,,
2018S01,"S1   2018",300,"Greece",02,"Liquid bulk carriers",0.55,,,22,,,5428,,,8691,,,,,"Not available or not separately reported",161235,,,320051,,,,,"Not available or not separately reported"
2018S01,"S1   2018",300,"Greece",07,"Liquefied petroleum gas carriers",0.92,,,24,,,4615,,,5259,,,,,"Not available or not separately reported",20151,,,24136,,,,,"Not available or not separately reported"
2018S01,"S1   2018",300,"Greece",05,"Dry bulk carriers",0.36,,,25,,,5851,,,9761,,,,,"Not available or not separately reported",63864,,,114167,,,,,"Not available or not separately reported"
2018S01,"S1   2018",300,"Greece",04,"Dry breakbulk carriers",1.07,,,31,,,2738,,,3826,,,,,"Not available or not separately reported",31920,,,55683,,,,,"Not available or not separately reported"
2018S01,"S1   2018",300,"Greece",06,"Roll-on/ roll-off ships",,,"Not available or not separately reported",33,,,19406,,,8334,,,,,"Not available or not separately reported",77000,,,48988,,,,,"Not available or not separately reported"
2018S01,"S1   2018",300,"Greece",03,"Container ships",0.92,,,14,,,40069,,,,,"Not available or not separately reported",3693,,,217617,,,,,"Not available or not separately reported",20388,,
2018S01,"S1   2018",300,"Greece",01,"Passenger ships",,,"Not available or not separately reported",20,,,8040,,,,,"Not available or not separately reported",,,"Not available or not separately reported",138279,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
2018S01,"S1   2018",360,"Indonesia",00,"All ships",1.33,,,21,,,8175,,,17248,,,1430,,,150695,,,209249,,,10800,,
2018S01,"S1   2018",360,"Indonesia",02,"Liquid bulk carriers",1.32,,,15,,,8503,,,13292,,,,,"Not available or not separately reported",76216,,,126646,,,,,"Not available or not separately reported"
2018S01,"S1   2018",360,"Indonesia",07,"Liquefied petroleum gas carriers",1.12,,,19,,,9565,,,10727,,,,,"Not available or not separately reported",49292,,,58814,,,,,"Not available or not separately reported"
2018S01,"S1   2018",360,"Indonesia",08,"Liquefied natural gas carriers",1.24,,,19,,,92468,,,69076,,,,,"Not available or not separately reported",133612,,,96703,,,,,"Not available or not separately reported"
2018S01,"S1   2018",360,"Indonesia",05,"Dry bulk carriers",3.67,,,17,,,26115,,,46211,,,,,"Not available or not separately reported",107684,,,209249,,,,,"Not available or not separately reported"
2018S01,"S1   2018",360,"Indonesia",04,"Dry breakbulk carriers",1.21,,,19,,,5014,,,6384,,,,,"Not available or not separately reported",39258,,,72562,,,,,"Not available or not separately reported"
2018S01,"S1   2018",360,"Indonesia",06,"Roll-on/ roll-off ships",,,"Not available or not separately reported",31,,,8081,,,3440,,,,,"Not available or not separately reported",63084,,,21385,,,,,"Not available or not separately reported"
2018S01,"S1   2018",360,"Indonesia",03,"Container ships",1.06,,,15,,,15437,,,,,"Not available or not separately reported",1430,,,128929,,,,,"Not available or not separately reported",10800,,
2018S01,"S1   2018",360,"Indonesia",01,"Passenger ships",,,"Not available or not separately reported",23,,,5330,,,,,"Not available or not separately reported",,,"Not available or not separately reported",150695,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
2018S01,"S1   2018",380,"Italy",00,"All ships",1.25,,,27,,,10320,,,19068,,,3642,,,228081,,,319300,,,15908,,
2018S01,"S1   2018",380,"Italy",02,"Liquid bulk carriers",1.31,,,15,,,17733,,,30240,,,,,"Not available or not separately reported",160000,,,319300,,,,,"Not available or not separately reported"
2018S01,"S1   2018",380,"Italy",07,"Liquefied petroleum gas carriers",1.39,,,13,,,8712,,,10011,,,,,"Not available or not separately reported",27546,,,28500,,,,,"Not available or not separately reported"
2018S01,"S1   2018",380,"Italy",05,"Dry bulk carriers",3.49,,,13,,,24298,,,42043,,,,,"Not available or not separately reported",151915,,,313049,,,,,"Not available or not separately reported"
2018S01,"S1   2018",380,"Italy",04,"Dry breakbulk carriers",1.96,,,17,,,6139,,,8567,,,,,"Not available or not separately reported",39258,,,81279,,,,,"Not available or not separately reported"
2018S01,"S1   2018",380,"Italy",06,"Roll-on/ roll-off ships",,,"Not available or not separately reported",13,,,30216,,,12424,,,,,"Not available or not separately reported",77000,,,48988,,,,,"Not available or not separately reported"
2018S01,"S1   2018",380,"Italy",03,"Container ships",0.82,,,14,,,40367,,,,,"Not available or not separately reported",3642,,,176490,,,,,"Not available or not separately reported",15908,,
2018S01,"S1   2018",380,"Italy",01,"Passenger ships",,,"Not available or not separately reported",29,,,7241,,,,,"Not available or not separately reported",,,"Not available or not separately reported",228081,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
2018S01,"S1   2018",392,"Japan",00,"All ships",0.41,,,14,,,11379,,,14885,,,1631,,,217617,,,402347,,,20388,,
2018S01,"S1   2018",392,"Japan",02,"Liquid bulk carriers",0.31,,,12,,,7483,,,12672,,,,,"Not available or not separately reported",166093,,,318473,,,,,"Not available or not separately reported"
2018S01,"S1   2018",392,"Japan",07,"Liquefied petroleum gas carriers",0.31,,,16,,,6086,,,6670,,,,,"Not available or not separately reported",48772,,,58899,,,,,"Not available or not separately reported"
2018S01,"S1   2018",392,"Japan",08,"Liquefied natural gas carriers",0.99,,,13,,,73412,,,53018,,,,,"Not available or not separately reported",163922,,,130171,,,,,"Not available or not separately reported"
2018S01,"S1   2018",392,"Japan",05,"Dry bulk carriers",0.93,,,14,,,17878,,,31466,,,,,"Not available or not separately reported",201384,,,402347,,,,,"Not available or not separately reported"
2018S01,"S1   2018",392,"Japan",04,"Dry breakbulk carriers",1.15,,,14,,,6562,,,8768,,,,,"Not available or not separately reported",49720,,,138743,,,,,"Not available or not separately reported"
2018S01,"S1   2018",392,"Japan",06,"Roll-on/ roll-off ships",,,"Not available or not separately reported",12,,,18960,,,7844,,,,,"Not available or not separately reported",77000,,,43878,,,,,"Not available or not separately reported"
2018S01,"S1   2018",392,"Japan",03,"Container ships",0.35,,,12,,,17127,,,,,"Not available or not separately reported",1631,,,217617,,,,,"Not available or not separately reported",20388,,
2018S01,"S1   2018",392,"Japan",01,"Passenger ships",,,"Not available or not separately reported",15,,,6201,,,,,"Not available or not separately reported",,,"Not available or not separately reported",168666,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
2018S01,"S1   2018",410,"Korea, Republic of",00,"All ships",0.77,,,15,,,19565,,,20831,,,2821,,,217673,,,327095,,,20776,,
2018S01,"S1   2018",410,"Korea, Republic of",02,"Liquid bulk carriers",0.78,,,14,,,13072,,,22686,,,,,"Not available or not separately reported",170004,,,323183,,,,,"Not available or not separately reported"
2018S01,"S1   2018",410,"Korea, Republic of",07,"Liquefied petroleum gas carriers",0.71,,,15,,,7251,,,8031,,,,,"Not available or not separately reported",48963,,,58585,,,,,"Not available or not separately reported"
2018S01,"S1   2018",410,"Korea, Republic of",08,"Liquefied natural gas carriers",1.03,,,10,,,112224,,,88429,,,,,"Not available or not separately reported",168189,,,155159,,,,,"Not available or not separately reported"
2018S01,"S1   2018",410,"Korea, Republic of",05,"Dry bulk carriers",2.23,,,13,,,29027,,,52818,,,,,"Not available or not separately reported",172146,,,327095,,,,,"Not available or not separately reported"
2018S01,"S1   2018",410,"Korea, Republic of",04,"Dry breakbulk carriers",1.27,,,18,,,5461,,,8217,,,,,"Not available or not separately reported",58265,,,138743,,,,,"Not available or not separately reported"
2018S01,"S1   2018",410,"Korea, Republic of",06,"Roll-on/ roll-off ships",,,"Not available or not separately reported",19,,,23697,,,10135,,,,,"Not available or not separately reported",77000,,,39516,,,,,"Not available or not separately reported"
2018S01,"S1   2018",410,"Korea, Republic of",03,"Container ships",0.57,,,13,,,30389,,,,,"Not available or not separately reported",2821,,,217673,,,,,"Not available or not separately reported",20776,,
2018S01,"S1   2018",410,"Korea, Republic of",01,"Passenger ships",,,"Not available or not separately reported",21,,,13965,,,,,"Not available or not separately reported",,,"Not available or not separately reported",168666,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
2018S01,"S1   2018",528,"Netherlands (Kingdom of the)",00,"All ships",0.56,,,15,,,12993,,,14058,,,2854,,,217673,,,320926,,,21413,,
2018S01,"S1   2018",528,"Netherlands (Kingdom of the)",02,"Liquid bulk carriers",0.51,,,15,,,9447,,,17325,,,,,"Not available or not separately reported",170004,,,320926,,,,,"Not available or not separately reported"
2018S01,"S1   2018",528,"Netherlands (Kingdom of the)",07,"Liquefied petroleum gas carriers",0.93,,,11,,,7038,,,7961,,,,,"Not available or not separately reported",48456,,,58063,,,,,"Not available or not separately reported"
2018S01,"S1   2018",528,"Netherlands (Kingdom of the)",08,"Liquefied natural gas carriers",1.4,,,5,,,65743,,,51694,,,,,"Not available or not separately reported",136980,,,121910,,,,,"Not available or not separately reported"
2018S01,"S1   2018",528,"Netherlands (Kingdom of the)",05,"Dry bulk carriers",0.66,,,10,,,36328,,,65185,,,,,"Not available or not separately reported",134692,,,262000,,,,,"Not available or not separately reported"
2018S01,"S1   2018",528,"Netherlands (Kingdom of the)",04,"Dry breakbulk carriers",0.35,,,18,,,4057,,,5384,,,,,"Not available or not separately reported",84503,,,105302,,,,,"Not available or not separately reported"
2018S01,"S1   2018",528,"Netherlands (Kingdom of the)",06,"Roll-on/ roll-off ships",,,"Not available or not separately reported",21,,,14289,,,5949,,,,,"Not available or not separately reported",77000,,,48988,,,,,"Not available or not separately reported"
2018S01,"S1   2018",528,"Netherlands (Kingdom of the)",03,"Container ships",0.8,,,12,,,30924,,,,,"Not available or not separately reported",2854,,,217673,,,,,"Not available or not separately reported",21413,,
2018S01,"S1   2018",528,"Netherlands (Kingdom of the)",01,"Passenger ships",,,"Not available or not separately reported",13,,,15810,,,,,"Not available or not separately reported",,,"Not available or not separately reported",168028,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
2018S01,"S1   2018",579,"Norway",00,"All ships",0.43,,,17,,,4412,,,6935,,,788,,,171598,,,209177,,,1856,,
2018S01,"S1   2018",579,"Norway",02,"Liquid bulk carriers",0.61,,,16,,,11755,,,18588,,,,,"Not available or not separately reported",94729,,,164746,,,,,"Not available or not separately reported"
2018S01,"S1   2018",579,"Norway",07,"Liquefied petroleum gas carriers",0.75,,,11,,,10681,,,12022,,,,,"Not available or not separately reported",48051,,,55047,,,,,"Not available or not separately reported"
2018S01,"S1   2018",579,"Norway",08,"Liquefied natural gas carriers",0.31,,,10,,,19431,,,13848,,,,,"Not available or not separately reported",121597,,,84878,,,,,"Not available or not separately reported"
2018S01,"S1   2018",579,"Norway",05,"Dry bulk carriers",0.89,,,20,,,16315,,,27211,,,,,"Not available or not separately reported",108237,,,209177,,,,,"Not available or not separately reported"
2018S01,"S1   2018",579,"Norway",04,"Dry breakbulk carriers",0.34,,,22,,,2818,,,3297,,,,,"Not available or not separately reported",51065,,,72148,,,,,"Not available or not separately reported"
2018S01,"S1   2018",579,"Norway",06,"Roll-on/ roll-off ships",,,"Not available or not separately reported",14,,,9786,,,5669,,,,,"Not available or not separately reported",37985,,,15990,,,,,"Not available or not separately reported"
2018S01,"S1   2018",579,"Norway",03,"Container ships",0.32,,,15,,,8443,,,,,"Not available or not separately reported",788,,,21586,,,,,"Not available or not separately reported",1856,,
2018S01,"S1   2018",579,"Norway",01,"Passenger ships",,,"Not available or not separately reported",17,,,4264,,,,,"Not available or not separately reported",,,"Not available or not separately reported",171598,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
2018S01,"S1   2018",608,"Philippines",00,"All ships",1.01,,,19,,,6745,,,10413,,,1699,,,217673,,,319994,,,20776,,
2018S01,"S1   2018",608,"Philippines",02,"Liquid bulk carriers",0.9,,,12,,,7834,,,12748,,,,,"Not available or not separately reported",163257,,,319994,,,,,"Not available or not separately reported"
2018S01,"S1   2018",608,"Philippines",07,"Liquefied petroleum gas carriers",0.9,,,10,,,7549,,,8404,,,,,"Not available or not separately reported",48419,,,55250,,,,,"Not available or not separately reported"
2018S01,"S1   2018",608,"Philippines",05,"Dry bulk carriers",4.19,,,12,,,23190,,,40502,,,,,"Not available or not separately reported",151094,,,297571,,,,,"Not available or not separately reported"
2018S01,"S1   2018",608,"Philippines",04,"Dry breakbulk carriers",1.02,,,19,,,4143,,,5435,,,,,"Not available or not separately reported",27818,,,42851,,,,,"Not available or not separately reported"
2018S01,"S1   2018",608,"Philippines",06,"Roll-on/ roll-off ships",,,"Not available or not separately reported",25,,,14911,,,6544,,,,,"Not available or not separately reported",75036,,,22582,,,,,"Not available or not separately reported"
2018S01,"S1   2018",608,"Philippines",03,"Container ships",0.79,,,15,,,17685,,,,,"Not available or not separately reported",1699,,,217673,,,,,"Not available or not separately reported",20776,,
2018S01,"S1   2018",608,"Philippines",01,"Passenger ships",,,"Not available or not separately reported",21,,,3157,,,,,"Not available or not separately reported",,,"Not available or not separately reported",168666,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
2018S01,"S1   2018",643,"Russian Federation",00,"All ships",1.42,,,22,,,9289,,,15397,,,1481,,,145655,,,206010,,,6802,,
2018S01,"S1   2018",643,"Russian Federation",02,"Liquid bulk carriers",1.09,,,21,,,11941,,,19982,,,,,"Not available or not separately reported",94729,,,166300,,,,,"Not available or not separately reported"
2018S01,"S1   2018",643,"Russian Federation",07,"Liquefied petroleum gas carriers",1.39,,,9,,,11432,,,13112,,,,,"Not available or not separately reported",19554,,,26798,,,,,"Not available or not separately reported"
2018S01,"S1   2018",643,"Russian Federation",08,"Liquefied natural gas carriers",1.15,,,8,,,110457,,,79147,,,,,"Not available or not separately reported",128975,,,96958,,,,,"Not available or not separately reported"
2018S01,"S1   2018",643,"Russian Federation",05,"Dry bulk carriers",2.49,,,13,,,25482,,,44389,,,,,"Not available or not separately reported",106884,,,206010,,,,,"Not available or not separately reported"
2018S01,"S1   2018",643,"Russian Federation",04,"Dry breakbulk carriers",1.75,,,28,,,4020,,,5130,,,,,"Not available or not separately reported",43788,,,53035,,,,,"Not available or not separately reported"
2018S01,"S1   2018",643,"Russian Federation",06,"Roll-on/ roll-off ships",,,"Not available or not separately reported",26,,,9804,,,5641,,,,,"Not available or not separately reported",50309,,,22910,,,,,"Not available or not separately reported"
2018S01,"S1   2018",643,"Russian Federation",03,"Container ships",1.37,,,16,,,16577,,,,,"Not available or not separately reported",1481,,,80942,,,,,"Not available or not separately reported",6802,,
2018S01,"S1   2018",643,"Russian Federation",01,"Passenger ships",,,"Not available or not separately reported",16,,,4350,,,,,"Not available or not separately reported",,,"Not available or not separately reported",145655,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
2018S01,"S1   2018",702,"Singapore",00,"All ships",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not publishable"
2018S01,"S1   2018",702,"Singapore",02,"Liquid bulk carriers",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not available or not separately reported",,,"Not publishable",,,"Not publishable",,,"Not available or not separately reported"
2018S01,"S1   2018",702,"Singapore",07,"Liquefied petroleum gas carriers",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not available or not separately reported",,,"Not publishable",,,"Not publishable",,,"Not available or not separately reported"
